trial_id,strategy,liquid,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_mean_s,composite_score,quality_overall,measurement_count,meets_accuracy_threshold,meets_precision_threshold,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_blowout_vol,hardware_parameters_pre_asp_air_vol,tolerance_accuracy_pct,tolerance_precision_pct
trial_22,inherited,agar_water_refill,0.025,25.0,0.02425082508250766,24.25082508250766,2.9966996699693587,2.463668810425287,29.129799799993634,0.9072707570667751,within_tolerance,3,True,True,0.003058212086450661,10,5,4.5,0.139,0.0,0,3.0
trial_23,calibration,agar_water_refill,0.01,10.0,0.014316831683168016,14.316831683168015,43.16831683168015,100.0,29.232545700389892,2.3367157463940122,outside_tolerance,1,False,False,0.0064,10,5,4.5,0.139,0.0,0,5.0
trial_24,calibration,agar_water_refill,0.01,10.0,0.009108910891088985,9.108910891088986,8.91089108911015,0.0,29.150595100130886,1.0319321266814154,partial_tolerance,1,False,True,0.0015831683168319854,10,5,4.5,0.139,0.0,0,5.0
trial_25,inherited,agar_water_refill,0.01,10.0,0.010244224422442523,10.244224422442523,2.442244224428175,3.1781861997840832,28.73948850017041,0.6089964529329949,within_tolerance,3,True,True,0.002407341038286731,10,5,4.5,0.139,0.0,0,5.0
trial_26,calibration,agar_water_refill,0.005,5.0,0.009069306930692685,9.069306930692685,81.3861386138537,100.0,29.1477175001055,2.397159058333685,outside_tolerance,1,False,False,0.0064,10,5,4.5,0.139,0.0,0,5.0
trial_27,calibration,agar_water_refill,0.005,5.0,0.005643564356434802,5.643564356434802,12.871287128696038,100.0,29.215910699684173,2.0673533656984677,outside_tolerance,1,False,False,0.0020806930693073157,10,5,4.5,0.139,0.0,0,5.0
trial_28,inherited,agar_water_refill,0.005,5.0,0.0042574257425748874,4.257425742574887,14.851485148502253,100.0,29.023291199933738,2.0843130608753544,outside_tolerance,1,False,False,0.0012692625765482984,10,5,4.5,0.139,0.0,0,5.0
trial_29,optimization,agar_water_refill,0.005,5.0,0.0028712871287132147,2.871287128713215,42.57425742573571,100.0,31.68229079991579,2.3396010353395926,outside_tolerance,1,False,False,0.0007,10,5,4.5,0.3,0.3,0,5.0
trial_30,optimization,agar_water_refill,0.005,5.0,0.004158415841583261,4.158415841583261,16.83168316833478,100.0,28.60428770026192,2.1005181427194044,outside_tolerance,1,False,False,0.0016,10,5,4.5,0.054,0.0,0,5.0
trial_31,optimization,agar_water_refill,0.005,5.0,0.004924092409242111,4.924092409242111,3.762376237594189,4.411389456249273,29.896277733457584,0.6622453499490747,within_tolerance,3,True,True,0.0017000000000000001,10,5,4.5,0.3,0.056,0,5.0
