volume,replicate,mass,start_time,end_time,aspirate_speed,wait_time,retract_speed,pre_asp_air_vol,post_asp_air_vol,blowout_vol
0.1,2,0.09600000000000009,2025-06-19T15:59:46.316282,2025-06-19T16:00:09.111119,5,4.657643975212899,14.29387509945853,0.09999999999999994,0.0017350034177119212,0.1
0.1,0,0.09640000000000093,2025-06-19T16:00:39.671492,2025-06-19T16:01:33.911958,9,18.965461280781412,1.0000000000000033,0.05451816938404991,7.470656401348347e-17,0.09690307524960838
0.1,1,0.09660000000000046,2025-06-19T16:01:33.911958,2025-06-19T16:02:28.520212,9,18.965461280781412,1.0000000000000033,0.05451816938404991,7.470656401348347e-17,0.09690307524960838
0.1,2,0.09479999999999933,2025-06-19T16:02:28.520212,2025-06-19T16:03:22.529272,9,18.965461280781412,1.0000000000000033,0.05451816938404991,7.470656401348347e-17,0.09690307524960838
0.1,0,0.09730000000000061,2025-06-19T16:03:49.435676,2025-06-19T16:04:05.730860,10,0.5,13.104873865214131,0.03544299272467973,0.01716219991266511,0.015701656449370063
0.1,1,0.0970999999999993,2025-06-19T16:04:05.731596,2025-06-19T16:04:20.919180,10,0.5,13.104873865214131,0.03544299272467973,0.01716219991266511,0.015701656449370063
0.1,2,0.0968,2025-06-19T16:04:20.920443,2025-06-19T16:04:37.116685,10,0.5,13.104873865214131,0.03544299272467973,0.01716219991266511,0.015701656449370063
0.1,0,0.09660000000000046,2025-06-19T16:04:59.465266,2025-06-19T16:06:15.312659,9,30.0,11.73913063410411,0.0,0.019917516299552986,0.09999999999999348
0.1,1,0.09629999999999939,2025-06-19T16:06:15.312659,2025-06-19T16:07:33.517723,9,30.0,11.73913063410411,0.0,0.019917516299552986,0.09999999999999348
0.1,2,0.09609999999999985,2025-06-19T16:07:33.518446,2025-06-19T16:08:49.127264,9,30.0,11.73913063410411,0.0,0.019917516299552986,0.09999999999999348
0.05,0,0.03640000000000043,2025-06-19T16:09:18.584738,2025-06-19T16:10:24.531205,30,15.85810336227417,14.99999999999965,0.0,0.09703424292855393,0.0
0.05,1,0.03500000000000014,2025-06-19T16:10:24.531710,2025-06-19T16:11:30.532005,30,15.85810336227417,14.99999999999965,0.0,0.09703424292855393,0.0
0.05,2,0.03480000000000061,2025-06-19T16:11:30.532298,2025-06-19T16:12:36.325451,30,15.85810336227417,14.99999999999965,0.0,0.09703424292855393,0.0
0.05,0,0.045900000000001384,2025-06-19T16:12:56.617150,2025-06-19T16:13:11.931616,13,0.5000000000000008,13.214490695876508,0.01345849766272681,0.04676514067571873,0.06654614402000678
0.05,1,0.045300000000001006,2025-06-19T16:13:11.931616,2025-06-19T16:13:27.121273,13,0.5000000000000008,13.214490695876508,0.01345849766272681,0.04676514067571873,0.06654614402000678
0.05,2,0.04589999999999961,2025-06-19T16:13:27.121648,2025-06-19T16:13:44.533149,13,0.5000000000000008,13.214490695876508,0.01345849766272681,0.04676514067571873,0.06654614402000678
0.05,0,0.04589999999999961,2025-06-19T16:14:06.888375,2025-06-19T16:14:23.528954,6,0.5,8.945942309277076,0.1,0.021835971730308087,0.1
0.05,1,0.04529999999999923,2025-06-19T16:14:23.528954,2025-06-19T16:14:38.526206,6,0.5,8.945942309277076,0.1,0.021835971730308087,0.1
0.05,2,0.045499999999998764,2025-06-19T16:14:38.526458,2025-06-19T16:14:56.129727,6,0.5,8.945942309277076,0.1,0.021835971730308087,0.1
0.05,0,0.04589999999999961,2025-06-19T16:15:24.101224,2025-06-19T16:15:40.721633,10,0.5000000000003851,9.796922193614703,0.0999999999999991,0.07061887325142509,3.0216498962502863e-16
0.05,1,0.04610000000000092,2025-06-19T16:15:40.721633,2025-06-19T16:15:57.126173,10,0.5000000000003851,9.796922193614703,0.0999999999999991,0.07061887325142509,3.0216498962502863e-16
0.05,2,0.045700000000000074,2025-06-19T16:15:57.126173,2025-06-19T16:16:12.123683,10,0.5000000000003851,9.796922193614703,0.0999999999999991,0.07061887325142509,3.0216498962502863e-16
0.05,0,0.04400000000000048,2025-06-19T16:16:40.761077,2025-06-19T16:16:53.118183,11,0.5,10.08651906288717,0.001029280379316729,0.017979768723926367,0.0
0.05,1,0.043699999999999406,2025-06-19T16:16:53.118183,2025-06-19T16:17:06.133073,11,0.5,10.08651906288717,0.001029280379316729,0.017979768723926367,0.0
0.05,2,0.04290000000000127,2025-06-19T16:17:06.133073,2025-06-19T16:17:18.332398,11,0.5,10.08651906288717,0.001029280379316729,0.017979768723926367,0.0
0.02,0,0.013700000000000045,2025-06-19T16:17:47.056716,2025-06-19T16:18:00.126005,8,0.8878640455168842,11.362189724841944,3.482887684647302e-18,5.942628851012927e-17,1.809904130020174e-17
0.02,1,0.013700000000000045,2025-06-19T16:18:00.126592,2025-06-19T16:18:16.322586,8,0.8878640455168842,11.362189724841944,3.482887684647302e-18,5.942628851012927e-17,1.809904130020174e-17
0.02,2,0.013300000000000978,2025-06-19T16:18:16.323216,2025-06-19T16:18:29.720949,8,0.8878640455168842,11.362189724841944,3.482887684647302e-18,5.942628851012927e-17,1.809904130020174e-17
0.02,0,0.019600000000000506,2025-06-19T16:19:00.902606,2025-06-19T16:19:30.525391,5,7.920769662294445,10.188821151099893,0.033281877966081744,3.199187811661732e-18,0.014307169959177846
0.02,1,0.01699999999999946,2025-06-19T16:19:30.525611,2025-06-19T16:19:58.329238,5,7.920769662294445,10.188821151099893,0.033281877966081744,3.199187811661732e-18,0.014307169959177846
0.02,2,0.017300000000000537,2025-06-19T16:19:58.329635,2025-06-19T16:20:27.332675,5,7.920769662294445,10.188821151099893,0.033281877966081744,3.199187811661732e-18,0.014307169959177846
0.02,0,0.0129999999999999,2025-06-19T16:20:56.196403,2025-06-19T16:21:15.729789,10,5.728783452795278,13.127836820062466,0.0,0.0,0.0
0.02,1,0.013399999999998968,2025-06-19T16:21:15.729789,2025-06-19T16:21:35.124348,10,5.728783452795278,13.127836820062466,0.0,0.0,0.0
0.02,2,0.013999999999999346,2025-06-19T16:21:35.124650,2025-06-19T16:21:54.534294,10,5.728783452795278,13.127836820062466,0.0,0.0,0.0
0.02,0,0.021300000000000097,2025-06-19T16:22:21.865733,2025-06-19T16:22:36.727644,9,0.5000000000000328,11.115758538566727,0.03531453638752871,0.0,0.045363308857002155
0.02,1,0.017300000000000537,2025-06-19T16:22:36.728135,2025-06-19T16:22:51.533301,9,0.5000000000000328,11.115758538566727,0.03531453638752871,0.0,0.045363308857002155
0.02,2,0.017400000000000304,2025-06-19T16:22:51.533301,2025-06-19T16:23:06.530689,9,0.5000000000000328,11.115758538566727,0.03531453638752871,0.0,0.045363308857002155
0.02,0,0.013099999999999667,2025-06-19T16:23:34.177434,2025-06-19T16:23:46.933751,7,0.5000000000021253,14.425739908674023,1.1612893158407356e-14,0.09999999999999423,0.0
0.02,1,0.013199999999999434,2025-06-19T16:23:46.934059,2025-06-19T16:24:00.524246,7,0.5000000000021253,14.425739908674023,1.1612893158407356e-14,0.09999999999999423,0.0
0.02,2,0.012800000000000367,2025-06-19T16:24:00.524246,2025-06-19T16:24:15.521725,7,0.5000000000021253,14.425739908674023,1.1612893158407356e-14,0.09999999999999423,0.0
0.01,0,0.011499999999999844,2025-06-19T16:24:41.050526,2025-06-19T16:24:54.933373,11,0.5000000000000109,12.150271922425658,0.035633373086168034,3.104222934964256e-17,0.0834660395977372
0.01,1,0.008199999999998653,2025-06-19T16:24:54.933704,2025-06-19T16:25:08.923428,11,0.5000000000000109,12.150271922425658,0.035633373086168034,3.104222934964256e-17,0.0834660395977372
