wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
40,experiment,experiment,SDS,TTAB,22.5,0.06887246539984299,SDS_stock,50.0,90.0,TTAB_dilution_3,0.7000000000000001,19.677847257097994,90.322152742902,0.0,,5,1,0.038,235385.0,299430.0,0.7861102761914304
41,experiment,experiment,SDS,TTAB,22.5,0.474341649025257,SDS_stock,50.0,90.0,TTAB_dilution_1,4.0,23.71708245126285,86.28291754873715,0.0,,5,1,0.039,242408.0,309794.0,0.7824812617416735
42,experiment,experiment,SDS,TTAB,22.5,3.266907881019648,SDS_stock,50.0,90.0,TTAB_stock,50.0,13.067631524078593,96.93236847592141,0.0,,5,1,1.251,49457.0,66096.0,0.7482601065117405
43,experiment,experiment,SDS,TTAB,22.5,22.5,SDS_stock,50.0,90.0,TTAB_stock,50.0,90.0,20.0,0.0,,5,1,3.0392,112093.0,171514.0,0.6535501475098243
44,experiment,experiment,SDS,TTAB,1.7170713638299984,1.7170713638299984,SDS_dilution_1,4.0,85.85356819149992,TTAB_dilution_1,4.0,85.85356819149992,28.292863617000165,0.0,,5,1,0.2699,59716.0,74411.0,0.8025157570789265
45,experiment,experiment,SDS,TTAB,1.7170713638299984,6.215633972988997,SDS_dilution_1,4.0,85.85356819149992,TTAB_stock,50.0,24.86253589195599,89.2838959165441,0.0,,5,1,0.1741,84057.0,108689.0,0.7733717303498974
46,experiment,experiment,SDS,TTAB,6.215633972988997,1.7170713638299984,SDS_stock,50.0,24.86253589195599,TTAB_dilution_1,4.0,85.85356819149992,89.2838959165441,0.0,,5,1,0.1161,103744.0,137002.0,0.7572444197894921
47,experiment,experiment,SDS,TTAB,11.825893809444274,11.825893809444274,SDS_stock,50.0,47.303575237777096,TTAB_stock,50.0,47.303575237777096,105.39284952444581,0.0,,5,1,2.5286,40817.0,56558.0,0.7216839350754978
48,experiment,experiment,SDS,TTAB,6.215633972988997,0.0361990427650297,SDS_stock,50.0,24.86253589195599,TTAB_dilution_5,0.1,72.39808553005939,102.73937857798462,0.0,,5,1,0.0394,162319.0,185197.0,0.876466681425725
49,experiment,experiment,SDS,TTAB,6.215633972988997,0.13103706971044488,SDS_stock,50.0,24.86253589195599,TTAB_dilution_4,0.30000000000000004,87.35804647362991,87.7794176344141,0.0,,5,1,0.0384,149223.0,171044.0,0.872424639274105
50,experiment,experiment,SDS,TTAB,0.2493117320341944,0.2493117320341944,SDS_dilution_3,0.7000000000000001,71.23192343834125,TTAB_dilution_3,0.7000000000000001,71.23192343834125,57.53615312331749,0.0,,5,1,0.1646,186549.0,222987.0,0.8365913707974008
51,experiment,experiment,SDS,TTAB,0.2493117320341944,0.9024846049729427,SDS_dilution_3,0.7000000000000001,71.23192343834125,TTAB_dilution_1,4.0,45.12423024864714,83.64384631301161,0.0,,5,1,0.0551,195021.0,225776.0,0.8637809155977606
52,experiment,experiment,SDS,TTAB,0.9024846049729427,0.2493117320341944,SDS_dilution_1,4.0,45.12423024864714,TTAB_dilution_3,0.7000000000000001,71.23192343834125,83.64384631301161,0.0,,5,1,0.0516,206777.0,238035.0,0.8686831768437414
