wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
71,experiment,experiment,SDS,TTAB,0.4822761398965754,0.28280917099249353,SDS_dilution_2,1.5,64.30348531954338,TTAB_dilution_3,0.7000000000000001,80.80262028356958,54.89389439688705,0.0,,5,1,0.0513,72654.0,74734.0,0.9721679556828218
72,experiment,experiment,SDS,TTAB,18.46919322886841,0.02425208113040013,SDS_stock,50.0,73.87677291547364,TTAB_dilution_5,0.1,48.50416226080026,77.6190648237261,0.0,,5,1,2.3656,23568.0,31293.0,0.7531396798005944
73,experiment,experiment,SDS,TTAB,5.526279378146814,0.1428859780174602,SDS_stock,50.0,22.105117512587256,TTAB_dilution_3,0.7000000000000001,40.82456514784577,137.07031733956697,0.0,,5,1,1.3076,34753.0,46095.0,0.7539429439201649
74,experiment,experiment,SDS,TTAB,7.634160650409004,20.537853194176027,SDS_stock,50.0,30.536642601636014,TTAB_stock,50.0,82.1514127767041,87.31194462165988,0.0,,5,1,1.4882,57036.0,79746.0,0.7152208261229404
75,experiment,experiment,SDS,TTAB,4.380838814724525,0.020436665118045753,SDS_dilution_0,10.0,87.6167762944905,TTAB_dilution_5,0.1,40.8733302360915,71.50989346941799,0.0,,5,1,0.0381,97126.0,106837.0,0.9091045237136947
76,experiment,experiment,SDS,TTAB,4.88776783490693,0.040801793672819456,SDS_stock,50.0,19.55107133962772,TTAB_dilution_5,0.1,81.6035873456389,98.84534131473339,0.0,,5,1,1.1524,18607.0,22570.0,0.8244129375276916
77,experiment,experiment,SDS,TTAB,16.720172345670694,0.042441503544484505,SDS_stock,50.0,66.88068938268277,TTAB_dilution_5,0.1,84.88300708896901,48.23630352834823,0.0,,5,1,2.3239,13185.0,15156.0,0.8699524940617577
78,experiment,experiment,SDS,TTAB,6.110250875055673,2.766730100403929,SDS_stock,50.0,24.441003500222692,TTAB_dilution_0,10.0,55.33460200807858,120.22439449169872,0.0,,5,1,1.5751,22967.0,29921.0,0.7675879816851041
79,experiment,experiment,SDS,TTAB,7.437270431449623,10.117291026164422,SDS_stock,50.0,29.74908172579849,TTAB_stock,50.0,40.469164104657686,129.78175416954383,0.0,,5,1,1.5231,32609.0,43510.0,0.7494598942771776
80,experiment,experiment,SDS,TTAB,16.914010144537883,0.10968257904401209,SDS_stock,50.0,67.65604057815153,TTAB_dilution_4,0.30000000000000004,73.12171936267472,59.22224005917374,0.0,,5,1,2.3465,16392.0,19917.0,0.8230155143846964
81,experiment,experiment,SDS,TTAB,17.95860723640999,0.01507163999494764,SDS_stock,50.0,71.83442894563996,TTAB_dilution_5,0.1,30.143279989895277,98.02229106446477,0.0,,5,1,2.426,44008.0,62127.0,0.7083554654176123
82,experiment,experiment,SDS,TTAB,5.973480566234753,0.010073238805854697,SDS_stock,50.0,23.89392226493901,TTAB_dilution_5,0.1,20.14647761170939,155.9596001233516,0.0,,5,1,1.386,29180.0,38247.0,0.7629356550840589
83,experiment,experiment,SDS,TTAB,17.97791851608702,0.30584392648275277,SDS_stock,50.0,71.91167406434808,TTAB_dilution_3,0.7000000000000001,87.38397899507221,40.70434694057971,0.0,,5,1,2.4678,17473.0,22459.0,0.7779954583908455
84,experiment,experiment,SDS,TTAB,5.182549756887692,0.08426173816258857,SDS_stock,50.0,20.730199027550768,TTAB_dilution_4,0.30000000000000004,56.174492108392364,123.09530886405688,0.0,,5,1,1.2204,28147.0,36528.0,0.770559570740254
85,experiment,experiment,SDS,TTAB,4.370770431318885,0.30007698206012523,SDS_dilution_0,10.0,87.4154086263777,TTAB_dilution_3,0.7000000000000001,85.7362805886072,26.848310785015087,0.0,,5,1,0.0408,114463.0,138337.0,0.8274214418413006
86,experiment,experiment,SDS,TTAB,5.518631712937036,1.5135323676120842,SDS_stock,50.0,22.074526851748143,TTAB_dilution_1,4.0,75.67661838060421,102.24885476764764,0.0,,5,1,1.3931,17318.0,20778.0,0.8334777168158629
87,experiment,experiment,SDS,TTAB,4.501990577402534,0.6721112315385329,SDS_stock,50.0,18.007962309610136,TTAB_dilution_2,1.5,89.61483087180439,92.37720681858548,0.0,,5,1,1.3843,23668.0,29909.0,0.7913337122605236
88,experiment,experiment,SDS,TTAB,5.6577776716690575,7.028166170122573,SDS_stock,50.0,22.63111068667623,TTAB_stock,50.0,28.112664680490287,149.2562246328335,0.0,,5,1,1.227,22918.0,28658.0,0.7997068881289692
89,experiment,experiment,SDS,TTAB,5.557235227587262,14.803190427856885,SDS_stock,50.0,22.228940910349046,TTAB_stock,50.0,59.21276171142754,118.55829737822341,0.0,,5,1,1.1739,24283.0,29482.0,0.8236551115935147
90,experiment,experiment,SDS,TTAB,5.966287536815967,0.9490323544125184,SDS_stock,50.0,23.865150147263865,TTAB_dilution_1,4.0,47.45161772062592,128.68323213211022,0.0,,5,1,2.0087,22166.0,28259.0,0.7843872748504901
91,experiment,experiment,SDS,TTAB,4.984690799619468,4.1169281186844655,SDS_stock,50.0,19.938763198477872,TTAB_dilution_0,10.0,82.33856237368931,97.72267442783281,0.0,,5,1,1.4273,26540.0,34358.0,0.7724547412538565
92,experiment,experiment,SDS,TTAB,6.696508429457638,0.016125524884240766,SDS_stock,50.0,26.786033717830552,TTAB_dilution_5,0.1,32.25104976848153,140.9629165136879,0.0,,5,1,1.4921,12580.0,13681.0,0.9195234266500987
93,experiment,experiment,SDS,TTAB,18.562729842389704,5.320026995095918,SDS_stock,50.0,74.25091936955882,TTAB_stock,50.0,21.280107980383672,104.46897265005751,0.0,,5,1,2.3377,19867.0,25574.0,0.7768436693516853
94,experiment,experiment,SDS,TTAB,5.461165060976186,0.4286552537709628,SDS_stock,50.0,21.844660243904745,TTAB_dilution_2,1.5,57.15403383612838,121.00130591996688,0.0,,5,1,1.3976,13141.0,14626.0,0.8984684807876384
95,experiment,experiment,SDS,TTAB,18.636558114387793,14.063743245841007,SDS_stock,50.0,74.54623245755117,TTAB_stock,50.0,56.25497298336402,69.1987945590848,0.0,,5,1,2.2527,20433.0,26925.0,0.7588857938718663
0,experiment,experiment,SDS,TTAB,4.6801361553412235,0.013758630495730497,SDS_stock,50.0,18.720544621364894,TTAB_dilution_5,0.1,27.517260991460994,153.7621943871741,0.0,,5,1,1.1378,35892.0,45912.0,0.7817564035546263
1,experiment,experiment,SDS,TTAB,4.525788141688092,0.19935875999319183,SDS_stock,50.0,18.103152566752367,TTAB_dilution_3,0.7000000000000001,56.95964571234052,124.93720172090711,0.0,,5,1,1.1767,40462.0,52460.0,0.7712924132672513
2,experiment,experiment,SDS,TTAB,4.623510374137381,0.0587537579262588,SDS_stock,50.0,18.494041496549524,TTAB_dilution_4,0.30000000000000004,39.1691719508392,142.33678655261127,0.0,,5,1,1.1788,20022.0,22699.0,0.8820652892197894
3,experiment,experiment,SDS,TTAB,4.6908939848640605,0.028764135333015164,SDS_stock,50.0,18.763575939456242,TTAB_dilution_5,0.1,57.52827066603032,123.70815339451343,0.0,,5,1,1.1443,19718.0,22346.0,0.8823950595184821
4,experiment,experiment,SDS,TTAB,20.471712041420318,0.033188975927579537,SDS_stock,50.0,81.88684816568127,TTAB_dilution_5,0.1,66.37795185515907,51.73519997915966,0.0,,5,1,2.4833,11399.0,11967.0,0.9525361410545667
5,experiment,experiment,SDS,TTAB,4.440602608787044,0.1124530682623689,SDS_dilution_0,10.0,88.81205217574089,TTAB_dilution_4,0.30000000000000004,74.96871217491258,36.21923564934653,0.0,,5,1,0.0384,106240.0,117659.0,0.9029483507423997
6,experiment,experiment,SDS,TTAB,20.616241314069192,0.019003711785612932,SDS_stock,50.0,82.46496525627677,TTAB_dilution_5,0.1,38.00742357122586,79.52761117249737,0.0,,5,1,2.4555,14259.0,16261.0,0.8768833405079638
7,experiment,experiment,SDS,TTAB,21.060461936676838,0.051138984182246855,SDS_stock,50.0,84.24184774670735,TTAB_dilution_4,0.30000000000000004,34.0926561214979,81.66549613179475,0.0,,5,1,2.5106,13706.0,15564.0,0.8806219480853251
8,experiment,experiment,SDS,TTAB,4.539352600264549,0.010290048865081934,SDS_stock,50.0,18.157410401058197,TTAB_dilution_5,0.1,20.58009773016387,161.26249186877794,0.0,,5,1,1.0788,29121.0,36359.0,0.8009296185263621
9,experiment,experiment,SDS,TTAB,20.7895573817688,0.13675165348105892,SDS_stock,50.0,83.1582295270752,TTAB_dilution_3,0.7000000000000001,39.07190099458826,77.76986947833653,0.0,,5,1,2.517,11959.0,12779.0,0.9358322247437202
10,experiment,experiment,SDS,TTAB,4.515671690591638,2.466809503271503,SDS_stock,50.0,18.062686762366553,TTAB_dilution_0,10.0,49.33619006543007,132.6011231722034,0.0,,5,1,1.2745,14541.0,15378.0,0.9455715957861881
11,experiment,experiment,SDS,TTAB,20.192193087207585,0.08873629474150496,SDS_stock,50.0,80.76877234883034,TTAB_dilution_4,0.30000000000000004,59.15752982766996,60.073697823499685,0.0,,5,1,2.4894,12238.0,13237.0,0.924529727279595
12,experiment,experiment,SDS,TTAB,4.846528039977694,22.23166132064291,SDS_stock,50.0,19.386112159910777,TTAB_stock,50.0,88.92664528257164,91.68724255751758,0.0,,5,1,1.2336,43119.0,55190.0,0.7812828410944012
13,experiment,experiment,SDS,TTAB,20.18501101741275,0.012206404919635918,SDS_stock,50.0,80.740044069651,TTAB_dilution_5,0.1,24.412809839271834,94.84714609107716,0.0,,5,1,2.5293,11384.0,11787.0,0.9658097904471027
14,experiment,experiment,SDS,TTAB,19.524083134414717,2.1936637367059024,SDS_stock,50.0,78.09633253765887,TTAB_dilution_0,10.0,43.87327473411805,78.03039272822309,0.0,,5,1,2.4855,31966.0,42130.0,0.7587467362924282
15,experiment,experiment,SDS,TTAB,4.539911808549211,11.593652931725387,SDS_stock,50.0,18.159647234196843,TTAB_stock,50.0,46.37461172690155,135.46574103890163,0.0,,5,1,1.1767,30877.0,38238.0,0.8074951618808515
16,experiment,experiment,SDS,TTAB,3.674649143438022,0.14966655551539507,SDS_dilution_0,10.0,73.49298286876044,TTAB_dilution_3,0.7000000000000001,42.76187300439859,83.74514412684098,0.0,,5,1,0.0437,108789.0,121004.0,0.8990529238702852
17,experiment,experiment,SDS,TTAB,4.11202305574554,1.4150004305483617,SDS_dilution_0,10.0,82.2404611149108,TTAB_dilution_1,4.0,70.75002152741808,47.009517357671115,0.0,,5,1,0.1217,58181.0,69348.0,0.8389715637076772
18,experiment,experiment,SDS,TTAB,4.269466672006485,6.614615326361587,SDS_dilution_0,10.0,85.38933344012969,TTAB_stock,50.0,26.45846130544635,88.15220525442396,0.0,,5,1,0.0383,218386.0,255229.0,0.8556472814609625
19,experiment,experiment,SDS,TTAB,3.456934255998291,0.03561889896227364,SDS_dilution_0,10.0,69.13868511996581,TTAB_dilution_5,0.1,71.23779792454727,59.623516955486934,0.0,,5,1,0.0385,118825.0,130938.0,0.9074905680551101
